               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.037726,            0.030262,           0.0088207,             0.91367,             0.80747,             0.86385,             0.51767,            0.044234,            0.031177,            0.011775,            0.001655,            0.001655,            0.023755
                  78,            0.038739,            0.030754,           0.0082911,             0.89779,             0.82046,             0.86527,              0.5318,            0.042619,            0.030402,            0.011729,           0.0016038,           0.0016038,            0.022704
                  79,            0.037185,            0.028604,           0.0081183,             0.93208,             0.79991,             0.86233,             0.52867,            0.044328,            0.031532,            0.011864,           0.0015535,           0.0015535,            0.021653
                  80,            0.036821,            0.029735,            0.008799,             0.94507,             0.80387,             0.87616,             0.53148,            0.042552,            0.031163,            0.011666,           0.0015043,           0.0015043,            0.020604
                  81,            0.036889,            0.029892,           0.0082032,             0.95287,             0.80782,             0.87749,             0.52573,            0.042607,            0.030825,            0.011578,           0.0014563,           0.0014563,            0.019556
                  82,            0.034556,            0.029707,           0.0078339,             0.92729,             0.80435,             0.86043,             0.53364,            0.042664,            0.031085,            0.011791,           0.0014097,           0.0014097,             0.01851
                  83,            0.036251,            0.028173,           0.0081397,             0.92942,             0.81918,             0.87796,             0.56631,            0.041445,            0.031645,            0.011253,           0.0013648,           0.0013648,            0.017465
                  84,            0.034837,            0.029718,           0.0081547,             0.91286,             0.82914,             0.87777,             0.55024,             0.04216,            0.032696,            0.011561,           0.0013216,           0.0013216,            0.016422
                  85,              0.0345,            0.030517,           0.0081291,             0.91046,             0.80817,             0.87377,              0.5581,             0.04147,            0.031908,            0.011294,           0.0012803,           0.0012803,             0.01538
                  86,            0.034471,            0.028112,           0.0086593,             0.95649,             0.78125,             0.85538,             0.55123,            0.041464,            0.032103,            0.011397,           0.0012412,           0.0012412,            0.014341
                  87,            0.034135,            0.032527,           0.0081006,             0.95804,             0.80621,             0.87977,             0.57029,            0.040732,            0.031611,            0.011528,           0.0012043,           0.0012043,            0.013304
                  88,            0.033384,            0.029788,           0.0080507,             0.94849,             0.81069,             0.87911,             0.56039,             0.04115,            0.031467,             0.01095,           0.0011699,           0.0011699,             0.01227
                  89,            0.032998,            0.027619,           0.0073849,             0.96997,             0.80041,             0.87699,             0.56209,            0.041238,            0.031709,            0.011395,           0.0011382,           0.0011382,            0.011238
                  90,            0.032514,            0.029848,           0.0082705,             0.94542,             0.82674,             0.88458,             0.57448,             0.04111,            0.031908,            0.011432,           0.0011092,           0.0011092,            0.010209
                  91,            0.032525,            0.028941,           0.0077756,             0.92399,             0.80974,             0.87079,             0.56155,            0.042428,            0.033512,            0.011631,           0.0010832,           0.0010832,           0.0091832
                  92,             0.03263,            0.028905,           0.0073141,              0.9463,             0.81179,             0.88011,             0.56632,            0.041258,            0.031667,            0.011165,           0.0010603,           0.0010603,           0.0081603
                  93,            0.032369,            0.026473,           0.0078516,             0.91257,             0.81493,             0.87361,             0.56497,            0.041309,            0.031513,            0.011336,           0.0010408,           0.0010408,           0.0071408
                  94,            0.031971,            0.030014,           0.0075655,              0.9309,             0.82624,             0.88015,             0.56905,            0.040838,            0.031049,            0.010997,           0.0010246,           0.0010246,           0.0061246
                  95,            0.032518,            0.029791,           0.0081537,             0.95832,             0.79575,             0.87383,             0.56494,            0.040963,            0.031565,             0.01129,           0.0010121,           0.0010121,           0.0051121
                  96,            0.031514,            0.026098,           0.0083613,             0.92377,              0.8204,             0.86869,             0.56128,            0.041197,             0.03297,             0.01133,           0.0010034,           0.0010034,           0.0041034
                  97,            0.032318,             0.02827,           0.0081853,             0.94613,             0.81291,             0.87321,             0.56684,            0.041225,            0.032539,            0.011211,          0.00099855,          0.00099855,           0.0030986
                  98,            0.032047,            0.031073,           0.0076677,             0.92332,             0.83395,             0.87995,             0.57102,            0.040893,            0.031995,            0.011204,          0.00099778,          0.00099778,           0.0020978
                  99,            0.032868,            0.028221,           0.0083555,             0.95467,             0.81554,             0.87826,             0.58458,            0.040562,            0.031835,            0.011135,           0.0010012,           0.0010012,           0.0011012
